1585922624 procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
1585922624  r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
1585922738  0  0      0 392996  23140 420584    0    0     0    12   40  118  0  0 96  4  0
1585922739  0  0      0 392996  23140 420584    0    0     0     0   39  249  1  1 98  0  0
1585922740  0  0      0 392996  23140 420584    0    0     0     0   23   91  0  0 100  0  0
1585922741  0  0      0 393020  23140 420584    0    0     0     0   39  133  0  0 100  0  0
1585922742  0  0      0 393020  23140 420584    0    0     0   244   72  296  0  0 100  0  0
1585922743  0  0      0 393020  23148 420584    0    0     0    16   31  105  0  0 99  1  0
1585922744  0  0      0 393020  23148 420584    0    0     0     0  117  585  1  0 99  0  0
1585922745  0  0      0 393052  23148 420584    0    0     0     0   37  205  0  1 99  0  0
1585922746  0  0      0 393052  23148 420588    0    0     0     0   97  240  1  0 99  0  0
1585922747  0  0      0 393052  23148 420588    0    0     0     0   58  160  1  0 99  0  0
1585922748  0  0      0 393092  23156 420592    0    0     0    12   48  262  0  1 99  0  0
1585922749  0  0      0 393092  23156 420592    0    0     0     0   26   94  0  0 100  0  0
1585922750 procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
1585922750  r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
1585922750  1  0      0 393092  23156 420592    0    0     0     0   26   97  0  0 100  0  0
1585922751  0  0      0 393124  23156 420592    0    0     0     0   39  259  1  1 98  0  0
1585922752  0  0      0 393124  23156 420592    0    0     0    12   38  108  0  0 100  0  0
1585922753  0  0      0 393124  23164 420592    0    0     0    48   68  248  2  1 97  0  0
1585922754  0  0      0 393148  23164 420592    0    0     0     0   57  289  0  0 100  0  0
1585922755  0  0      0 393148  23164 420592    0    0     0     0   34  119  0  0 100  0  0
1585922756  0  0      0 393148  23164 420592    0    0     0     0   27   98  0  0 100  0  0
1585922757  0  0      0 393180  23164 420592    0    0     0    36   46  257  0  0 100  0  0
1585922758  0  0      0 393180  23172 420592    0    0     0    36   36  118  0  0 100  0  0
1585922759  0  0      0 392988  23172 420592    0    0     0     0   34  106  0  0 100  0  0
1585922760  0  0      0 392988  23172 420592    0    0     0     0   39  247  0  0 100  0  0
1585922761  0  0      0 393028  23172 420592    0    0     0     0   33  114  0  0 100  0  0
1585922762  0  0      0 393028  23172 420592    0    0     0     0   29  108  0  0 100  0  0
1585922763  0  0      0 393028  23180 420592    0    0     0    12   48  258  1  1 98  0  0
1585922764  0  0      0 393028  23180 420592    0    0     0     0   30   99  0  0 100  0  0
1585922765  0  0      0 393028  23180 420592    0    0     0     0   32  123  0  0 100  0  0
1585922766  1  0      0 392960  23180 420596    0    0     0     0   79  396  3  1 96  0  0
1585922767  0  0      0 392952  23180 420596    0    0     0   256   62  151  0  0 99  1  0
1585922768  0  0      0 392960  23188 420596    0    0     0    52   38  119  0  0 100  0  0
1585922769  0  0      0 392960  23188 420596    0    0     0     0   38  195  0  0 100  0  0
1585922770  0  0      0 392960  23188 420596    0    0     0     0   22   89  0  0 100  0  0
1585922771 procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
1585922771  r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
1585922771  1  0      0 392960  23188 420596    0    0     0     0   25   96  0  0 100  0  0
1585922772  0  0      0 392992  23188 420596    0    0     0     0   36  258  2  1 97  0  0
1585922773  0  0      0 392992  23196 420596    0    0     0    12   34  108  0  0 100  0  0
1585922774  0  0      0 393000  23196 420596    0    0     0     0   41  141  0  0 100  0  0
1585922775  0  0      0 393000  23196 420596    0    0     0     0   43  265  0  0 100  0  0
1585922776  0  0      0 393000  23196 420596    0    0     0     0   32  119  1  0 99  0  0
1585922777  0  0      0 393000  23196 420596    0    0     0     0   31  110  0  1 99  0  0
1585922778  0  0      0 393000  23204 420596    0    0     0    32   42  212  0  0 100  0  0
1585922779  0  0      0 393000  23204 420596    0    0     0     0   29  105  0  0 100  0  0
1585922780  0  0      0 393000  23204 420596    0    0     0     0   36  118  0  0 100  0  0
1585922781  0  0      0 393032  23204 420596    0    0     0     0   31  241  1  1 98  0  0
1585922782  0  0      0 393032  23204 420596    0    0     0     0   27  102  0  0 100  0  0
1585922783  0  0      0 393032  23212 420596    0    0     0    12   38  124  0  0 100  0  0
1585922784  0  0      0 393032  23212 420596    0    0     0     0   45  248  0  0 100  0  0
1585922785  0  0      0 393032  23212 420596    0    0     0     0   26  109  0  0 100  0  0
1585922786  0  0      0 393032  23212 420600    0    0     0     0   29  105  0  0 100  0  0
1585922787  0  0      0 393064  23212 420600    0    0     0     0   50  270  0  1 99  0  0
